entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
climate.pool_house,heat_cool,2026-03-12T03:17:05.164Z,73,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T03:20:05.178Z,72.9,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T03:23:05.160Z,73.1,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T03:26:05.190Z,73,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T03:29:05.172Z,72.7,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T03:32:05.198Z,73.1,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T03:35:05.235Z,73.1,cooling,73,66.9,
climate.pool_house,heat_cool,2026-03-12T03:38:05.178Z,72.8,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T03:40:19.688Z,72.8,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T03:43:20.025Z,72.6,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T03:46:19.961Z,72.7,idle,73,66.9,
climate.pool_house,heat_cool,2026-03-12T03:49:20.032Z,73.1,cooling,73,66.9,
